model,dimension,group,scope,n_3voters,hit_rate,mean_p3_on_3voter,share_of_3voters,n_players,mean_error,mae
Stats-only ML (C-ML),losing_team_3voter,True,all,301.0,0.4053156146179402,0.27574304797881954,0.10168918918918919,,,
Stats-only ML (C-ML),losing_team_3voter,False,recent (2022-2026),916.0,0.5982532751091703,0.41666384109719945,0.8927875243664717,,,
Stats-only ML (C-ML),losing_team_3voter,True,recent (2022-2026),110.0,0.36363636363636365,0.25182066299601746,0.10721247563352826,,,
Stats-only ML (C-ML),season_ev_bias_by_role,KEY_DEFENDER,all,,,,,167.0,-1.3223229682270679,1.6919113376486832
Stats-only ML (C-ML),season_ev_bias_by_role,KEY_FORWARD,all,,,,,305.0,-0.31709145465845556,1.3082720095288976
Stats-only ML (C-ML),season_ev_bias_by_role,MEDIUM_DEFENDER,all,,,,,400.0,-0.044543457119930865,1.8000494332564005
Stats-only ML (C-ML),season_ev_bias_by_role,MEDIUM_FORWARD,all,,,,,382.0,-0.4906045227240427,1.3863749593357249
Stats-only ML (C-ML),season_ev_bias_by_role,MIDFIELDER,all,,,,,1908.0,-0.1440821362630124,2.121734131687913
Stats-only ML (C-ML),season_ev_bias_by_role,MIDFIELDER_FORWARD,all,,,,,75.0,-0.13499742515640786,1.9216975680578219
Stats-only ML (C-ML),season_ev_bias_by_role,RUCK,all,,,,,251.0,-0.2556830305482197,1.9244642409856978
Stats-only ML (C-ML),season_ev_bias_by_role,UNKNOWN,all,,,,,37.0,-0.47127990955388716,0.9413129530013374
