model,window,test_season,n_train_seasons,n_matches,correct_3_pct,correct_2_pct,correct_1_pct,exact_321_pct,all_3_identified_pct,top3_precision,top3_recall,mean_rank_corr,log_loss,brier_score,expected_vote_mae
Model2a_GBM_utility,recent8,2023,8,181,0.5303867403314917,0.23204419889502761,0.14917127071823205,0.055248618784530384,0.20994475138121546,0.6243093922651933,0.6243093922651933,0.38959592728557446,0.2626294106856084,0.11188400251845369,0.22303009500513296
Model2b_GBM_multiclass,recent8,2023,8,181,0.4861878453038674,0.22099447513812154,0.13812154696132597,0.055248618784530384,0.16022099447513813,0.6335174953959485,0.6335174953959485,0.4011878446515156,0.2176269860573934,0.09460642986941081,0.13977877686699958
Model0_Benchmark,expanding,2024,21,190,0.5157894736842106,0.3263157894736842,0.19473684210526315,0.1,0.20526315789473684,0.6333333333333333,0.6333333333333333,0.40490943061437473,0.20643545118845744,0.09274548552899492,0.1426835906412055
Model1_PlackettLuce,expanding,2024,21,190,0.48947368421052634,0.2894736842105263,0.20526315789473684,0.06315789473684211,0.21052631578947367,0.6333333333333333,0.6333333333333333,0.4049469683890554,0.19325568659973236,0.09196714733208733,0.13966403317760612
Model2a_GBM_utility,expanding,2024,21,190,0.5263157894736842,0.2894736842105263,0.18421052631578946,0.07368421052631578,0.25263157894736843,0.6596491228070175,0.6596491228070175,0.4066461578904602,0.2671832705264459,0.11481203217409243,0.22774921934163941
Model2b_GBM_multiclass,expanding,2024,21,190,0.5157894736842106,0.23157894736842105,0.1631578947368421,0.05789473684210526,0.18947368421052632,0.6491228070175439,0.6491228070175439,0.4065077014876875,0.21295733926333152,0.09295392468218207,0.14100544522497854
Model0_Benchmark,recent8,2024,8,190,0.5157894736842106,0.2894736842105263,0.1736842105263158,0.07368421052631578,0.17894736842105263,0.6263157894736842,0.6263157894736842,0.4046486192535594,0.2126721060573065,0.09310472930960975,0.13990874588164523
Model1_PlackettLuce,recent8,2024,8,190,0.49473684210526314,0.28421052631578947,0.18947368421052632,0.05789473684210526,0.2,0.619298245614035,0.619298245614035,0.4048481131386855,0.19753710594233315,0.093034793436494,0.1334750661098774
Model2a_GBM_utility,recent8,2024,8,190,0.5210526315789473,0.2578947368421053,0.1368421052631579,0.06842105263157895,0.18947368421052632,0.631578947368421,0.631578947368421,0.40258154928737505,0.26405565806053216,0.11334844482851512,0.22406299612147476
Model2b_GBM_multiclass,recent8,2024,8,190,0.49473684210526314,0.20526315789473684,0.15263157894736842,0.04736842105263158,0.15789473684210525,0.6263157894736842,0.6263157894736842,0.40733133724062837,0.21503284000820866,0.09391500223559236,0.1378338014871917
Model0_Benchmark,expanding,2025,22,193,0.5440414507772021,0.2538860103626943,0.14507772020725387,0.046632124352331605,0.12953367875647667,0.6355785837651122,0.6355785837651122,0.409591616532014,0.20545949599037952,0.09451023826635474,0.14230195139477356
Model1_PlackettLuce,expanding,2025,22,193,0.5440414507772021,0.22797927461139897,0.16062176165803108,0.03626943005181347,0.15544041450777202,0.6303972366148531,0.6303972366148531,0.40906915880392014,0.19549738115261556,0.09396267292916553,0.13993497358549417
Model2a_GBM_utility,expanding,2025,22,193,0.5647668393782384,0.29533678756476683,0.20725388601036268,0.08290155440414508,0.18134715025906736,0.6476683937823834,0.6476683937823834,0.40453603788142684,0.2738044754875016,0.11783244639371564,0.23253685917852396
Model2b_GBM_multiclass,expanding,2025,22,193,0.538860103626943,0.27461139896373055,0.16580310880829016,0.06735751295336788,0.14507772020725387,0.6424870466321243,0.6424870466321243,0.41141594923714964,0.2072517903730277,0.09373112598087842,0.1425125672209169
Model0_Benchmark,recent8,2025,8,193,0.5647668393782384,0.29533678756476683,0.12953367875647667,0.05181347150259067,0.13471502590673576,0.6269430051813472,0.6269430051813472,0.40882086349840985,0.2176859510263105,0.09484166593679184,0.13955737992755565
Model1_PlackettLuce,recent8,2025,8,193,0.5544041450777202,0.25906735751295334,0.12435233160621761,0.046632124352331605,0.15025906735751296,0.6303972366148533,0.6303972366148533,0.40914752164242885,0.19818105899663105,0.09455928594743462,0.13367928818672536
Model2a_GBM_utility,recent8,2025,8,193,0.533678756476684,0.29533678756476683,0.19689119170984457,0.07772020725388601,0.20725388601036268,0.6563039723661487,0.6563039723661487,0.4078177504672658,0.2716236134621383,0.11686424175419598,0.23017222354867745
Model2b_GBM_multiclass,recent8,2025,8,193,0.5181347150259067,0.21243523316062177,0.15544041450777202,0.046632124352331605,0.15544041450777202,0.6355785837651122,0.6355785837651122,0.4114864767157973,0.2119252135464705,0.09513532221111337,0.14048890367130798
