rank,player_id,player_name,team_id,objective_ev,objective_3_games,objective_2_games,objective_1_games,n_matches
262,12340,Harris Andrews,brisbane_lions,0.3515120497999033,0,0,0,20
263,12357,Karl Amon,hawthorn,0.3481139094210628,0,0,0,18
264,11917,Dion Prestia,richmond,0.34498107940811185,0,0,0,17
265,12772,Toby Bedford,greater_western_sydney,0.344431934443896,0,0,0,17
266,13248,Roan Steele,collingwood,0.34420917943565793,0,0,0,18
267,13001,Ryan Angwin,greater_western_sydney,0.34110659769953633,0,0,0,20
268,12433,Aliir Aliir,port_adelaide,0.3400268062677926,0,0,0,22
269,13188,Joe Berry,port_adelaide,0.33225686645946023,0,0,0,23
270,12371,Brayden Maynard,collingwood,0.33111006441683294,0,0,0,17
271,13122,Connor OSullivan,geelong,0.3304731209337141,0,0,0,23
272,13117,Kane McAuliffe,richmond,0.32045846682256635,0,0,0,10
273,12952,Jake Soligo,adelaide,0.3161390346321342,0,0,0,20
274,12580,Ben McKay,essendon,0.31156807174390544,0,0,0,15
275,13348,Jack Ough,greater_western_sydney,0.31037811859487985,0,0,0,5
276,12932,Brayden Cook,adelaide,0.30856072854506106,0,0,0,22
277,12875,Heath Chapman,fremantle,0.30607191133673184,0,0,0,22
278,12994,Matt Roberts,sydney,0.29527445483181347,0,0,0,19
279,12268,Jake Lloyd,sydney,0.2940923033851312,0,0,0,23
280,12175,Zac Williams,carlton,0.2924715544045289,0,0,0,9
281,12937,Brodie Kemp,carlton,0.28934861105359005,0,0,0,23
282,12902,Hugo Ralphsmith,richmond,0.2825167301911386,0,0,0,13
283,13247,Jobe Shanahan,west_coast,0.27948132473471815,0,0,0,23
284,12422,Darcy Byrne-Jones,port_adelaide,0.27099978898206195,0,0,0,22
285,12276,Blake Acres,carlton,0.26696317159847455,0,0,0,10
286,12696,Xavier Duursma,essendon,0.2655989937184091,0,0,0,18
287,13285,Mitchell Edwards,geelong,0.26008730743277886,0,0,0,18
288,13114,Jed Walter,gold_coast,0.2599044847446439,0,0,0,18
289,12889,Zach Reid,essendon,0.25895223827995884,0,0,0,23
290,13340,Sam Swadling,collingwood,0.255443645884198,0,0,0,8
291,12778,Trent Rivers,melbourne,0.25454392739354237,0,0,0,16
292,12843,Finn Maginness,hawthorn,0.24941975012620923,0,0,0,6
293,13204,Isaiah Dudley,fremantle,0.2449491320947656,0,0,0,23
294,13232,Leo Lombard,gold_coast,0.2441391003663094,0,0,0,23
295,12441,Bailey Williams,western_bulldogs,0.2367881342430572,0,0,0,17
296,12629,Isaac Cumming,adelaide,0.23614842624921803,0,0,0,16
297,12083,Jamie Elliott,collingwood,0.2343272123754317,0,0,0,11
298,13087,Elijah Tsatas,essendon,0.23254798436279078,0,0,0,6
299,12704,Jack Lukosius,port_adelaide,0.23195110636691624,0,0,0,8
300,12801,Michael Frederick,fremantle,0.22916804893911644,0,0,0,18
301,12860,James Jordon,sydney,0.2249891137008795,0,0,0,22
302,13113,Mykelti Lefau,richmond,0.2248824789106946,0,0,0,21
303,12579,Harry Morrison,hawthorn,0.22075069449611043,0,0,0,13
304,12499,Jack Bowes,geelong,0.2180563118416143,0,0,0,9
305,13182,Matthew Jefferson,melbourne,0.21479049783361495,0,0,0,16
306,12385,Lachie Weller,gold_coast,0.21415020382024638,0,0,0,11
307,13121,Ethan Read,gold_coast,0.21334373559865638,0,0,0,15
308,12942,Alex Davies,gold_coast,0.20851324774957786,0,0,0,6
309,13107,Colby McKercher,north_melbourne,0.20660815329560356,0,0,0,23
310,13123,Koltyn Tholstrup,melbourne,0.20376218468774762,0,0,0,23
311,13287,Tom Blamires,north_melbourne,0.20196207635639374,0,0,0,17
312,13317,Billy Cootee,sydney,0.1968886631281685,0,0,0,9
313,13120,Will Graham,gold_coast,0.1939100407524555,0,0,0,12
314,13344,Noah Mraz,hawthorn,0.1905476590263795,0,0,0,4
315,12454,Eric Hipwood,brisbane_lions,0.18941836547883611,0,0,0,10
316,12834,Jake Riccardi,greater_western_sydney,0.18838036652072665,0,0,0,9
317,12437,Mason Redman,essendon,0.18397244495207335,0,0,0,16
318,12282,Rory Lobb,western_bulldogs,0.18300972438177202,0,0,0,20
319,12916,Lachlan Bramble,western_bulldogs,0.18180523753116634,0,0,0,23
320,13278,Zeke Uwland,gold_coast,0.18113771452867,0,0,0,17
321,11967,Jeremy Howe,collingwood,0.17032422481976744,0,0,0,17
322,12821,Xavier OHalloran,greater_western_sydney,0.16797617331382889,0,0,0,14
323,12462,Harry Himmelberg,greater_western_sydney,0.16698502249803165,0,0,0,23
324,12748,Rhylee West,western_bulldogs,0.16593704813528604,0,0,0,22
325,11894,Ryan Lester,brisbane_lions,0.16574926621582642,0,0,0,19
326,13306,Angus Anderson,collingwood,0.16488363832029265,0,0,0,16
327,13299,Jacob Farrow,essendon,0.164542332127882,0,0,0,21
328,12536,Harry Perryman,collingwood,0.16447565407380135,0,0,0,16
329,12672,Sam Switkowski,fremantle,0.16368124737112477,0,0,0,22
330,12403,Daniel Rioli,gold_coast,0.16040920324242205,0,0,0,20
331,NOID2026_9000,Jack Graham,west_coast,0.15884579791876027,0,0,0,1
332,12458,Jack Silvagni,st_kilda,0.15840716483007272,0,0,0,23
333,13099,Caleb Windsor,melbourne,0.15809457981179895,0,0,0,20
334,13138,Bruce Reville,brisbane_lions,0.15545036873549092,0,0,0,18
